Jahr,Rubrik,Energietraeger,TJ
1980,Bruttoverbrauch,Elektrizität,-29450
1980,Bruttoverbrauch,Erdölprodukte,321250
1980,Bruttoverbrauch,Fernwärme,0
1980,Bruttoverbrauch,Gas,36280
1980,Bruttoverbrauch,Holzenergie,26280
1980,Bruttoverbrauch,Kernbrennstoffe,149050
1980,Bruttoverbrauch,Kohle,14300
1980,Bruttoverbrauch,Müll und Industrieabfälle,10100
1980,Bruttoverbrauch,Rohöl,191970
1980,Bruttoverbrauch,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Bruttoverbrauch,Wasserkraft,120750
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Elektrizität,-17020
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Erdölprodukte,-8330
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Fernwärme,-1000
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Gas,-2270
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Holzenergie,keine Daten verfügbar
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Kernbrennstoffe,keine Daten verfügbar
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Kohle,keine Daten verfügbar
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Müll und Industrieabfälle,keine Daten verfügbar
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Rohöl,keine Daten verfügbar
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Uebrige erneuerbare Energien,keine Daten verfügbar
1980,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Wasserkraft,keine Daten verfügbar
1980,Endverbrauch - Dienstleistungen,Elektrizität,32560
1980,Endverbrauch - Dienstleistungen,Erdölprodukte,74860
1980,Endverbrauch - Dienstleistungen,Fernwärme,4620
1980,Endverbrauch - Dienstleistungen,Gas,4660
1980,Endverbrauch - Dienstleistungen,Holzenergie,960
1980,Endverbrauch - Dienstleistungen,Kernbrennstoffe,keine Daten verfügbar
1980,Endverbrauch - Dienstleistungen,Kohle,40
1980,Endverbrauch - Dienstleistungen,Müll und Industrieabfälle,0
1980,Endverbrauch - Dienstleistungen,Rohöl,keine Daten verfügbar
1980,Endverbrauch - Dienstleistungen,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Endverbrauch - Dienstleistungen,Wasserkraft,keine Daten verfügbar
1980,Endverbrauch - Haushalte,Elektrizität,36270
1980,Endverbrauch - Haushalte,Erdölprodukte,164890
1980,Endverbrauch - Haushalte,Fernwärme,2160
1980,Endverbrauch - Haushalte,Gas,11370
1980,Endverbrauch - Haushalte,Holzenergie,23910
1980,Endverbrauch - Haushalte,Kernbrennstoffe,keine Daten verfügbar
1980,Endverbrauch - Haushalte,Kohle,3710
1980,Endverbrauch - Haushalte,Müll und Industrieabfälle,0
1980,Endverbrauch - Haushalte,Rohöl,keine Daten verfügbar
1980,Endverbrauch - Haushalte,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Endverbrauch - Haushalte,Wasserkraft,keine Daten verfügbar
1980,Endverbrauch - Industrie,Elektrizität,48670
1980,Endverbrauch - Industrie,Erdölprodukte,67020
1980,Endverbrauch - Industrie,Fernwärme,1140
1980,Endverbrauch - Industrie,Gas,12380
1980,Endverbrauch - Industrie,Holzenergie,1410
1980,Endverbrauch - Industrie,Kernbrennstoffe,keine Daten verfügbar
1980,Endverbrauch - Industrie,Kohle,9880
1980,Endverbrauch - Industrie,Müll und Industrieabfälle,3700
1980,Endverbrauch - Industrie,Rohöl,keine Daten verfügbar
1980,Endverbrauch - Industrie,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Endverbrauch - Industrie,Wasserkraft,keine Daten verfügbar
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Elektrizität,1890
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Erdölprodukte,3890
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Fernwärme,0
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Gas,1600
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Holzenergie,0
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Kernbrennstoffe,keine Daten verfügbar
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Kohle,0
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Müll und Industrieabfälle,0
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Rohöl,keine Daten verfügbar
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Wasserkraft,keine Daten verfügbar
1980,Endverbrauch - Total,Elektrizität,126910
1980,Endverbrauch - Total,Erdölprodukte,489480
1980,Endverbrauch - Total,Fernwärme,7920
1980,Endverbrauch - Total,Gas,30370
1980,Endverbrauch - Total,Holzenergie,26280
1980,Endverbrauch - Total,Kernbrennstoffe,0
1980,Endverbrauch - Total,Kohle,13630
1980,Endverbrauch - Total,Müll und Industrieabfälle,3700
1980,Endverbrauch - Total,Rohöl,0
1980,Endverbrauch - Total,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Endverbrauch - Total,Wasserkraft,0
1980,Endverbrauch - Verkehr,Elektrizität,7520
1980,Endverbrauch - Verkehr,Erdölprodukte,178820
1980,Endverbrauch - Verkehr,Fernwärme,keine Daten verfügbar
1980,Endverbrauch - Verkehr,Gas,360
1980,Endverbrauch - Verkehr,Holzenergie,keine Daten verfügbar
1980,Endverbrauch - Verkehr,Kernbrennstoffe,keine Daten verfügbar
1980,Endverbrauch - Verkehr,Kohle,keine Daten verfügbar
1980,Endverbrauch - Verkehr,Müll und Industrieabfälle,keine Daten verfügbar
1980,Endverbrauch - Verkehr,Rohöl,keine Daten verfügbar
1980,Endverbrauch - Verkehr,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Endverbrauch - Verkehr,Wasserkraft,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Elektrizität,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Erdölprodukte,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Fernwärme,0
1980,Energieumwandlung - Diverse Erneuerbare,Gas,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Holzenergie,0
1980,Energieumwandlung - Diverse Erneuerbare,Kernbrennstoffe,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Kohle,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Müll und Industrieabfälle,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Rohöl,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Energieumwandlung - Diverse Erneuerbare,Wasserkraft,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Elektrizität,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Erdölprodukte,-840
1980,Energieumwandlung - Gaswerke,Fernwärme,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Gas,720
1980,Energieumwandlung - Gaswerke,Holzenergie,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Kernbrennstoffe,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Kohle,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Müll und Industrieabfälle,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Rohöl,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Energieumwandlung - Gaswerke,Wasserkraft,keine Daten verfügbar
1980,Energieumwandlung - Kernkraftwerke,Elektrizität,49190
1980,Energieumwandlung - Kernkraftwerke,Erdölprodukte,keine Daten verfügbar
1980,Energieumwandlung - Kernkraftwerke,Fernwärme,120
1980,Energieumwandlung - Kernkraftwerke,Gas,keine Daten verfügbar
1980,Energieumwandlung - Kernkraftwerke,Holzenergie,keine Daten verfügbar
1980,Energieumwandlung - Kernkraftwerke,Kernbrennstoffe,-149050
1980,Energieumwandlung - Kernkraftwerke,Kohle,keine Daten verfügbar
1980,Energieumwandlung - Kernkraftwerke,Müll und Industrieabfälle,keine Daten verfügbar
1980,Energieumwandlung - Kernkraftwerke,Rohöl,keine Daten verfügbar
1980,Energieumwandlung - Kernkraftwerke,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Energieumwandlung - Kernkraftwerke,Wasserkraft,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Elektrizität,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Erdölprodukte,190500
1980,Energieumwandlung - Raffinerien,Fernwärme,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Gas,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Holzenergie,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Kernbrennstoffe,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Kohle,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Müll und Industrieabfälle,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Rohöl,-191970
1980,Energieumwandlung - Raffinerien,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Energieumwandlung - Raffinerien,Wasserkraft,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Elektrizität,120750
1980,Energieumwandlung - Wasserkraftwerke,Erdölprodukte,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Fernwärme,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Gas,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Holzenergie,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Kernbrennstoffe,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Kohle,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Müll und Industrieabfälle,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Rohöl,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Energieumwandlung - Wasserkraftwerke,Wasserkraft,-120750
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Elektrizität,3440
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Erdölprodukte,-6780
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Fernwärme,8800
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Gas,-4360
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Holzenergie,0
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Kernbrennstoffe,keine Daten verfügbar
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Kohle,-670
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Müll und Industrieabfälle,-6400
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Rohöl,keine Daten verfügbar
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Uebrige erneuerbare Energien,keine Daten verfügbar
1980,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Wasserkraft,keine Daten verfügbar
1980,Export,Elektrizität,-65260
1980,Export,Erdölprodukte,-1970
1980,Export,Fernwärme,keine Daten verfügbar
1980,Export,Gas,-580
1980,Export,Holzenergie,keine Daten verfügbar
1980,Export,Kernbrennstoffe,keine Daten verfügbar
1980,Export,Kohle,keine Daten verfügbar
1980,Export,Müll und Industrieabfälle,keine Daten verfügbar
1980,Export,Rohöl,keine Daten verfügbar
1980,Export,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Export,Wasserkraft,keine Daten verfügbar
1980,Import,Elektrizität,35810
1980,Import,Erdölprodukte,338250
1980,Import,Fernwärme,keine Daten verfügbar
1980,Import,Gas,36860
1980,Import,Holzenergie,220
1980,Import,Kernbrennstoffe,149050
1980,Import,Kohle,22100
1980,Import,Müll und Industrieabfälle,keine Daten verfügbar
1980,Import,Rohöl,192810
1980,Import,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Import,Wasserkraft,keine Daten verfügbar
1980,Inlandproduktion,Elektrizität,keine Daten verfügbar
1980,Inlandproduktion,Erdölprodukte,keine Daten verfügbar
1980,Inlandproduktion,Fernwärme,keine Daten verfügbar
1980,Inlandproduktion,Gas,0
1980,Inlandproduktion,Holzenergie,26060
1980,Inlandproduktion,Kernbrennstoffe,keine Daten verfügbar
1980,Inlandproduktion,Kohle,0
1980,Inlandproduktion,Müll und Industrieabfälle,10100
1980,Inlandproduktion,Rohöl,0
1980,Inlandproduktion,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Inlandproduktion,Wasserkraft,120750
1980,Lagerveränderung,Elektrizität,keine Daten verfügbar
1980,Lagerveränderung,Erdölprodukte,-15030
1980,Lagerveränderung,Fernwärme,keine Daten verfügbar
1980,Lagerveränderung,Gas,keine Daten verfügbar
1980,Lagerveränderung,Holzenergie,keine Daten verfügbar
1980,Lagerveränderung,Kernbrennstoffe,keine Daten verfügbar
1980,Lagerveränderung,Kohle,-7800
1980,Lagerveränderung,Müll und Industrieabfälle,keine Daten verfügbar
1980,Lagerveränderung,Rohöl,-840
1980,Lagerveränderung,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Lagerveränderung,Wasserkraft,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Elektrizität,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Erdölprodukte,-6320
1980,Nichtenergetischer Verbrauch,Fernwärme,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Gas,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Holzenergie,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Kernbrennstoffe,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Kohle,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Müll und Industrieabfälle,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Rohöl,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Uebrige erneuerbare Energien,keine Daten verfügbar
1980,Nichtenergetischer Verbrauch,Wasserkraft,keine Daten verfügbar
1981,Bruttoverbrauch,Elektrizität,-38560
1981,Bruttoverbrauch,Erdölprodukte,340250
1981,Bruttoverbrauch,Fernwärme,0
1981,Bruttoverbrauch,Gas,39140
1981,Bruttoverbrauch,Holzenergie,25480
1981,Bruttoverbrauch,Kernbrennstoffe,157770
1981,Bruttoverbrauch,Kohle,21150
1981,Bruttoverbrauch,Müll und Industrieabfälle,14040
1981,Bruttoverbrauch,Rohöl,168430
1981,Bruttoverbrauch,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Bruttoverbrauch,Wasserkraft,129950
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Elektrizität,-16590
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Erdölprodukte,-7790
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Fernwärme,-1000
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Gas,-2170
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Holzenergie,keine Daten verfügbar
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Kernbrennstoffe,keine Daten verfügbar
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Kohle,keine Daten verfügbar
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Müll und Industrieabfälle,keine Daten verfügbar
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Rohöl,keine Daten verfügbar
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Uebrige erneuerbare Energien,keine Daten verfügbar
1981,"Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen",Wasserkraft,keine Daten verfügbar
1981,Endverbrauch - Dienstleistungen,Elektrizität,34470
1981,Endverbrauch - Dienstleistungen,Erdölprodukte,74000
1981,Endverbrauch - Dienstleistungen,Fernwärme,4860
1981,Endverbrauch - Dienstleistungen,Gas,5960
1981,Endverbrauch - Dienstleistungen,Holzenergie,1050
1981,Endverbrauch - Dienstleistungen,Kernbrennstoffe,keine Daten verfügbar
1981,Endverbrauch - Dienstleistungen,Kohle,30
1981,Endverbrauch - Dienstleistungen,Müll und Industrieabfälle,0
1981,Endverbrauch - Dienstleistungen,Rohöl,keine Daten verfügbar
1981,Endverbrauch - Dienstleistungen,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Endverbrauch - Dienstleistungen,Wasserkraft,keine Daten verfügbar
1981,Endverbrauch - Haushalte,Elektrizität,36620
1981,Endverbrauch - Haushalte,Erdölprodukte,152670
1981,Endverbrauch - Haushalte,Fernwärme,2220
1981,Endverbrauch - Haushalte,Gas,12210
1981,Endverbrauch - Haushalte,Holzenergie,22670
1981,Endverbrauch - Haushalte,Kernbrennstoffe,keine Daten verfügbar
1981,Endverbrauch - Haushalte,Kohle,3060
1981,Endverbrauch - Haushalte,Müll und Industrieabfälle,0
1981,Endverbrauch - Haushalte,Rohöl,keine Daten verfügbar
1981,Endverbrauch - Haushalte,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Endverbrauch - Haushalte,Wasserkraft,keine Daten verfügbar
1981,Endverbrauch - Industrie,Elektrizität,49370
1981,Endverbrauch - Industrie,Erdölprodukte,54490
1981,Endverbrauch - Industrie,Fernwärme,1240
1981,Endverbrauch - Industrie,Gas,13260
1981,Endverbrauch - Industrie,Holzenergie,1760
1981,Endverbrauch - Industrie,Kernbrennstoffe,keine Daten verfügbar
1981,Endverbrauch - Industrie,Kohle,17020
1981,Endverbrauch - Industrie,Müll und Industrieabfälle,4600
1981,Endverbrauch - Industrie,Rohöl,keine Daten verfügbar
1981,Endverbrauch - Industrie,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Endverbrauch - Industrie,Wasserkraft,keine Daten verfügbar
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Elektrizität,2260
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Erdölprodukte,2930
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Fernwärme,0
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Gas,1570
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Holzenergie,0
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Kernbrennstoffe,keine Daten verfügbar
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Kohle,0
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Müll und Industrieabfälle,0
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Rohöl,keine Daten verfügbar
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Endverbrauch - Statistische Differenz inkl. Landwirtschaft,Wasserkraft,keine Daten verfügbar
1981,Endverbrauch - Total,Elektrizität,130300
1981,Endverbrauch - Total,Erdölprodukte,465710
1981,Endverbrauch - Total,Fernwärme,8320
1981,Endverbrauch - Total,Gas,33370
1981,Endverbrauch - Total,Holzenergie,25480
1981,Endverbrauch - Total,Kernbrennstoffe,0
1981,Endverbrauch - Total,Kohle,20110
1981,Endverbrauch - Total,Müll und Industrieabfälle,4600
1981,Endverbrauch - Total,Rohöl,0
1981,Endverbrauch - Total,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Endverbrauch - Total,Wasserkraft,0
1981,Endverbrauch - Verkehr,Elektrizität,7580
1981,Endverbrauch - Verkehr,Erdölprodukte,181620
1981,Endverbrauch - Verkehr,Fernwärme,keine Daten verfügbar
1981,Endverbrauch - Verkehr,Gas,370
1981,Endverbrauch - Verkehr,Holzenergie,keine Daten verfügbar
1981,Endverbrauch - Verkehr,Kernbrennstoffe,keine Daten verfügbar
1981,Endverbrauch - Verkehr,Kohle,keine Daten verfügbar
1981,Endverbrauch - Verkehr,Müll und Industrieabfälle,keine Daten verfügbar
1981,Endverbrauch - Verkehr,Rohöl,keine Daten verfügbar
1981,Endverbrauch - Verkehr,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Endverbrauch - Verkehr,Wasserkraft,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Elektrizität,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Erdölprodukte,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Fernwärme,0
1981,Energieumwandlung - Diverse Erneuerbare,Gas,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Holzenergie,0
1981,Energieumwandlung - Diverse Erneuerbare,Kernbrennstoffe,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Kohle,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Müll und Industrieabfälle,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Rohöl,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Energieumwandlung - Diverse Erneuerbare,Wasserkraft,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Elektrizität,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Erdölprodukte,-760
1981,Energieumwandlung - Gaswerke,Fernwärme,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Gas,560
1981,Energieumwandlung - Gaswerke,Holzenergie,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Kernbrennstoffe,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Kohle,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Müll und Industrieabfälle,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Rohöl,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Energieumwandlung - Gaswerke,Wasserkraft,keine Daten verfügbar
1981,Energieumwandlung - Kernkraftwerke,Elektrizität,52060
1981,Energieumwandlung - Kernkraftwerke,Erdölprodukte,keine Daten verfügbar
1981,Energieumwandlung - Kernkraftwerke,Fernwärme,430
1981,Energieumwandlung - Kernkraftwerke,Gas,keine Daten verfügbar
1981,Energieumwandlung - Kernkraftwerke,Holzenergie,keine Daten verfügbar
1981,Energieumwandlung - Kernkraftwerke,Kernbrennstoffe,-157770
1981,Energieumwandlung - Kernkraftwerke,Kohle,keine Daten verfügbar
1981,Energieumwandlung - Kernkraftwerke,Müll und Industrieabfälle,keine Daten verfügbar
1981,Energieumwandlung - Kernkraftwerke,Rohöl,keine Daten verfügbar
1981,Energieumwandlung - Kernkraftwerke,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Energieumwandlung - Kernkraftwerke,Wasserkraft,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Elektrizität,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Erdölprodukte,166880
1981,Energieumwandlung - Raffinerien,Fernwärme,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Gas,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Holzenergie,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Kernbrennstoffe,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Kohle,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Müll und Industrieabfälle,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Rohöl,-168430
1981,Energieumwandlung - Raffinerien,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Energieumwandlung - Raffinerien,Wasserkraft,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Elektrizität,129950
1981,Energieumwandlung - Wasserkraftwerke,Erdölprodukte,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Fernwärme,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Gas,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Holzenergie,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Kernbrennstoffe,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Kohle,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Müll und Industrieabfälle,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Rohöl,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Energieumwandlung - Wasserkraftwerke,Wasserkraft,-129950
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Elektrizität,3440
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Erdölprodukte,-5110
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Fernwärme,8890
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Gas,-4160
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Holzenergie,0
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Kernbrennstoffe,keine Daten verfügbar
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Kohle,-1040
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Müll und Industrieabfälle,-9440
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Rohöl,keine Daten verfügbar
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Uebrige erneuerbare Energien,keine Daten verfügbar
1981,"Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke",Wasserkraft,keine Daten verfügbar
1981,Export,Elektrizität,-73980
1981,Export,Erdölprodukte,-2220
1981,Export,Fernwärme,keine Daten verfügbar
1981,Export,Gas,keine Daten verfügbar
1981,Export,Holzenergie,keine Daten verfügbar
1981,Export,Kernbrennstoffe,keine Daten verfügbar
1981,Export,Kohle,-30
1981,Export,Müll und Industrieabfälle,keine Daten verfügbar
1981,Export,Rohöl,keine Daten verfügbar
1981,Export,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Export,Wasserkraft,keine Daten verfügbar
1981,Import,Elektrizität,35420
1981,Import,Erdölprodukte,328780
1981,Import,Fernwärme,keine Daten verfügbar
1981,Import,Gas,39140
1981,Import,Holzenergie,220
1981,Import,Kernbrennstoffe,157770
1981,Import,Kohle,29850
1981,Import,Müll und Industrieabfälle,keine Daten verfügbar
1981,Import,Rohöl,167300
1981,Import,Uebrige erneuerbare Energien,keine Daten verfügbar
1981,Import,Wasserkraft,keine Daten verfügbar
1981,Inlandproduktion,Elektrizität,keine Daten verfügbar
